F1,Description,Property Type,Price,Lot Area,Toatal Floor Area,Location,Street,City,Location - Split 3
92,"1 Bedroom Condo in The Bellagio, Taguig",Condominium,49000,,60 sqm,"1st Avenue, Taguig, Metro Manila",1st Avenue,Taguig,Metro Manila
93,"1 Bedroom Condo in Avida Towers 34th St., Taguig",Condominium,35000,,40 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
94,"1 Bedroom Condo in Forbeswood Parklane, Taguig",Condominium,32000,,37 sqm,"Rizal Drive, Taguig, Metro Manila",Rizal Drive,Taguig,Metro Manila
95,"2 Bedroom Condo in The Solstice, Makati",Condominium,75000,,80 sqm,"Circuit, Makati, Metro Manila",Circuit,Makati,Metro Manila
96,"Studio Condo in The Maridien, Taguig",Condominium,35000,,46 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
97,"Studio Condo in One Pacific Place, Makati",Condominium,23000,,23 sqm,"H.V. Dela Costa, Makati, Metro Manila",H.V. Dela Costa,Makati,Metro Manila
98,"1 Bedroom Condo in The Rise Makati, Makati",Condominium,45000,,28 sqm,"Yakal, Makati, Kalakhang Maynila",Yakal,Makati,Kalakhang Maynila
99,"3 Bedroom Condo in Royal Palm Residences, Taguig",Condominium,40000,,97 sqm,"Acacia Avenue, Taguig, Metro Manila",Acacia Avenue,Taguig,Metro Manila
100,"2 Bedroom Unit in Manila Luxury Condominium, Pasig",Condominium,65000,,183 sqm,"Pearl Dr, Pasig, Kalakhang Maynila",Pearl Dr,Pasig,Kalakhang Maynila
101,"Very Nice Studio Condo in The Columns, Makati",Condominium,25000,,30 sqm,"Ayala Avenue, Makati, Metro Manila",Ayala Avenue,Makati,Metro Manila
102,"2 Bedroom Condo in Escala Salcedo, Makati",Condominium,110000,,105 sqm,"L.P. Leviste Street, Makati, Metro Manila",L.P. Leviste Street,Makati,Metro Manila
103,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,140000,,123 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
104,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,145000,,136 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
105,"4 Bedroom House & Lot, Parañaque",House and Lot,220000,150 sqm,200 sqm,"Parañaque, Metro Manila",Parañaque,Parañaque,Metro Manila
106,"1 Bedroom Condo in Four Season Riviera, Manila",Condominium,25000,,47 sqm,"Numancia Street, Manila, Metro Manila",Numancia Street,Manila,Metro Manila
107,"Studio Condo in Verve Residences, Taguig",Condominium,40000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
108,"2 Bedroom Condo in One McKinley Place, Taguig",Condominium,120000,,119 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
109,"2 Bedroom Condo in The Montane, Taguig",Condominium,60000,,54 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
110,"1 Bedroom Condo in Verve Residences, Taguig",Condominium,35000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
111,"1 Bedroom Condo in Two Serendra, Taguig",Condominium,80000,,64 sqm,"McKinley Parkway, Taguig, Metro Manila",McKinley Parkway,Taguig,Metro Manila
112,"1 Bedroom Condo in The Bellagio, Taguig",Condominium,49000,,60 sqm,"1st Avenue, Taguig, Metro Manila",1st Avenue,Taguig,Metro Manila
113,"1 Bedroom Condo in Avida Towers 34th St., Taguig",Condominium,35000,,40 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
114,"1 Bedroom Condo in Forbeswood Parklane, Taguig",Condominium,32000,,37 sqm,"Rizal Drive, Taguig, Metro Manila",Rizal Drive,Taguig,Metro Manila
115,"2 Bedroom Condo in The Solstice, Makati",Condominium,75000,,80 sqm,"Circuit, Makati, Metro Manila",Circuit,Makati,Metro Manila
116,"Studio Condo in The Maridien, Taguig",Condominium,35000,,46 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
117,"Studio Condo in One Pacific Place, Makati",Condominium,23000,,23 sqm,"H.V. Dela Costa, Makati, Metro Manila",H.V. Dela Costa,Makati,Metro Manila
118,"1 Bedroom Condo in The Rise Makati, Makati",Condominium,45000,,28 sqm,"Yakal, Makati, Kalakhang Maynila",Yakal,Makati,Kalakhang Maynila
119,"3 Bedroom Condo in Royal Palm Residences, Taguig",Condominium,40000,,97 sqm,"Acacia Avenue, Taguig, Metro Manila",Acacia Avenue,Taguig,Metro Manila
120,"2 Bedroom Unit in Manila Luxury Condominium, Pasig",Condominium,65000,,183 sqm,"Pearl Dr, Pasig, Kalakhang Maynila",Pearl Dr,Pasig,Kalakhang Maynila
121,"Very Nice Studio Condo in The Columns, Makati",Condominium,25000,,30 sqm,"Ayala Avenue, Makati, Metro Manila",Ayala Avenue,Makati,Metro Manila
122,"2 Bedroom Condo in Escala Salcedo, Makati",Condominium,110000,,105 sqm,"L.P. Leviste Street, Makati, Metro Manila",L.P. Leviste Street,Makati,Metro Manila
123,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,140000,,123 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
124,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,145000,,136 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
125,"4 Bedroom House & Lot, Parañaque",House and Lot,220000,150 sqm,200 sqm,"Parañaque, Metro Manila",Parañaque,Parañaque,Metro Manila
126,"1 Bedroom Condo in Four Season Riviera, Manila",Condominium,25000,,47 sqm,"Numancia Street, Manila, Metro Manila",Numancia Street,Manila,Metro Manila
127,"Studio Condo in Verve Residences, Taguig",Condominium,40000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
128,"2 Bedroom Condo in One McKinley Place, Taguig",Condominium,120000,,119 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
129,"2 Bedroom Condo in The Montane, Taguig",Condominium,60000,,54 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
130,"1 Bedroom Condo in Verve Residences, Taguig",Condominium,35000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
131,"1 Bedroom Condo in Two Serendra, Taguig",Condominium,80000,,64 sqm,"McKinley Parkway, Taguig, Metro Manila",McKinley Parkway,Taguig,Metro Manila
132,"1 Bedroom Condo in The Bellagio, Taguig",Condominium,49000,,60 sqm,"1st Avenue, Taguig, Metro Manila",1st Avenue,Taguig,Metro Manila
133,"1 Bedroom Condo in Avida Towers 34th St., Taguig",Condominium,35000,,40 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
134,"1 Bedroom Condo in Forbeswood Parklane, Taguig",Condominium,32000,,37 sqm,"Rizal Drive, Taguig, Metro Manila",Rizal Drive,Taguig,Metro Manila
135,"2 Bedroom Condo in The Solstice, Makati",Condominium,75000,,80 sqm,"Circuit, Makati, Metro Manila",Circuit,Makati,Metro Manila
136,"Studio Condo in The Maridien, Taguig",Condominium,35000,,46 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
137,"Studio Condo in One Pacific Place, Makati",Condominium,23000,,23 sqm,"H.V. Dela Costa, Makati, Metro Manila",H.V. Dela Costa,Makati,Metro Manila
138,"1 Bedroom Condo in The Rise Makati, Makati",Condominium,45000,,28 sqm,"Yakal, Makati, Kalakhang Maynila",Yakal,Makati,Kalakhang Maynila
139,"3 Bedroom Condo in Royal Palm Residences, Taguig",Condominium,40000,,97 sqm,"Acacia Avenue, Taguig, Metro Manila",Acacia Avenue,Taguig,Metro Manila
140,"2 Bedroom Unit in Manila Luxury Condominium, Pasig",Condominium,65000,,183 sqm,"Pearl Dr, Pasig, Kalakhang Maynila",Pearl Dr,Pasig,Kalakhang Maynila
141,"Very Nice Studio Condo in The Columns, Makati",Condominium,25000,,30 sqm,"Ayala Avenue, Makati, Metro Manila",Ayala Avenue,Makati,Metro Manila
142,"2 Bedroom Condo in Escala Salcedo, Makati",Condominium,110000,,105 sqm,"L.P. Leviste Street, Makati, Metro Manila",L.P. Leviste Street,Makati,Metro Manila
143,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,140000,,123 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
144,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,145000,,136 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
145,"4 Bedroom House & Lot, Parañaque",House and Lot,220000,150 sqm,200 sqm,"Parañaque, Metro Manila",Parañaque,Parañaque,Metro Manila
146,"1 Bedroom Condo in Four Season Riviera, Manila",Condominium,25000,,47 sqm,"Numancia Street, Manila, Metro Manila",Numancia Street,Manila,Metro Manila
147,"Studio Condo in Verve Residences, Taguig",Condominium,40000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
148,"2 Bedroom Condo in One McKinley Place, Taguig",Condominium,120000,,119 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
149,"2 Bedroom Condo in The Montane, Taguig",Condominium,60000,,54 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
150,"1 Bedroom Condo in Verve Residences, Taguig",Condominium,35000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
151,"1 Bedroom Condo in Two Serendra, Taguig",Condominium,80000,,64 sqm,"McKinley Parkway, Taguig, Metro Manila",McKinley Parkway,Taguig,Metro Manila
152,"1 Bedroom Condo in The Bellagio, Taguig",Condominium,49000,,60 sqm,"1st Avenue, Taguig, Metro Manila",1st Avenue,Taguig,Metro Manila
153,"1 Bedroom Condo in Avida Towers 34th St., Taguig",Condominium,35000,,40 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
154,"1 Bedroom Condo in Forbeswood Parklane, Taguig",Condominium,32000,,37 sqm,"Rizal Drive, Taguig, Metro Manila",Rizal Drive,Taguig,Metro Manila
155,"2 Bedroom Condo in The Solstice, Makati",Condominium,75000,,80 sqm,"Circuit, Makati, Metro Manila",Circuit,Makati,Metro Manila
156,"Studio Condo in The Maridien, Taguig",Condominium,35000,,46 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
157,"Studio Condo in One Pacific Place, Makati",Condominium,23000,,23 sqm,"H.V. Dela Costa, Makati, Metro Manila",H.V. Dela Costa,Makati,Metro Manila
158,"1 Bedroom Condo in The Rise Makati, Makati",Condominium,45000,,28 sqm,"Yakal, Makati, Kalakhang Maynila",Yakal,Makati,Kalakhang Maynila
159,"3 Bedroom Condo in Royal Palm Residences, Taguig",Condominium,40000,,97 sqm,"Acacia Avenue, Taguig, Metro Manila",Acacia Avenue,Taguig,Metro Manila
160,"2 Bedroom Unit in Manila Luxury Condominium, Pasig",Condominium,65000,,183 sqm,"Pearl Dr, Pasig, Kalakhang Maynila",Pearl Dr,Pasig,Kalakhang Maynila
161,"Very Nice Studio Condo in The Columns, Makati",Condominium,25000,,30 sqm,"Ayala Avenue, Makati, Metro Manila",Ayala Avenue,Makati,Metro Manila
162,"2 Bedroom Condo in Escala Salcedo, Makati",Condominium,110000,,105 sqm,"L.P. Leviste Street, Makati, Metro Manila",L.P. Leviste Street,Makati,Metro Manila
163,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,140000,,123 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
164,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,145000,,136 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
165,"4 Bedroom House & Lot, Parañaque",House and Lot,220000,150 sqm,200 sqm,"Parañaque, Metro Manila",Parañaque,Parañaque,Metro Manila
166,"1 Bedroom Condo in Four Season Riviera, Manila",Condominium,25000,,47 sqm,"Numancia Street, Manila, Metro Manila",Numancia Street,Manila,Metro Manila
167,"Studio Condo in Verve Residences, Taguig",Condominium,40000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
168,"2 Bedroom Condo in One McKinley Place, Taguig",Condominium,120000,,119 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
169,"2 Bedroom Condo in The Montane, Taguig",Condominium,60000,,54 sqm,"Taguig, Metro Manila",Taguig,Taguig,Metro Manila
170,"1 Bedroom Condo in Verve Residences, Taguig",Condominium,35000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
171,"1 Bedroom Condo in Two Serendra, Taguig",Condominium,80000,,64 sqm,"McKinley Parkway, Taguig, Metro Manila",McKinley Parkway,Taguig,Metro Manila
172,"1 Bedroom Condo in The Bellagio, Taguig",Condominium,49000,,60 sqm,"1st Avenue, Taguig, Metro Manila",1st Avenue,Taguig,Metro Manila
